serie,adf_stat,adf_p,kpss_stat,kpss_p,veredicto
X,-27.455,0.0,0.095,0.1,estacionaria
Y,-8.727,0.0,0.08,0.1,estacionaria
Z,-14.724,0.0,0.057,0.1,estacionaria
Equipo1,-16.946,0.0,0.064,0.1,estacionaria
Equipo2,-29.707,0.0,0.063,0.1,estacionaria
